sjis_hex,glyph_index,sjis_char,kor_char
0x8a8a,1227,滑,녠
0x8a8b,1228,葛,노
0x8a8c,1229,褐,녹
0x8a8d,1230,轄,논
0x8a8e,1231,且,놀
0x8a8f,1232,鰹,놂
0x8a90,1233,叶,놈
0x8a91,1234,椛,놉
0x8a92,1235,樺,놋
0x8a93,1236,鞄,농
0x8a94,1237,株,높
0x8a95,1238,兜,놓
0x8a96,1239,竃,놔
0x8a97,1240,蒲,놘
0x8a98,1241,釜,놜
0x8a99,1242,鎌,놨
0x8a9a,1243,噛,뇌
0x8a9b,1244,鴨,뇐
0x8a9c,1245,栢,뇔
0x8a9d,1246,茅,뇜
0x8a9e,1247,萱,뇝
0x8a9f,1248,粥,뇟
0x8aa0,1249,刈,뇨
0x8aa1,1250,苅,뇩
0x8aa2,1251,瓦,뇬
0x8aa3,1252,乾,뇰
0x8aa4,1253,侃,뇹
0x8aa5,1254,冠,뇻
0x8aa6,1255,寒,뇽
0x8aa7,1256,刊,누
0x8aa8,1257,勘,눅
0x8aa9,1258,勧,눈
0x8aaa,1259,巻,눋
0x8aab,1260,喚,눌
0x8aac,1261,堪,눔
0x8aad,1262,姦,눕
0x8aae,1263,完,눗
0x8aaf,1264,官,눙
0x8ab0,1265,寛,눠
0x8ab1,1266,干,눴
0x8ab2,1267,幹,눼
0x8ab3,1268,患,뉘
0x8ab4,1269,感,뉜
0x8ab5,1270,慣,뉠
0x8ab6,1271,憾,뉨
0x8ab7,1272,換,뉩
0x8ab8,1273,敢,뉴
0x8ab9,1274,柑,뉵
0x8aba,1275,桓,뉼
0x8abb,1276,棺,늄
0x8abc,1277,款,늅
0x8abd,1278,歓,늉
0x8abe,1279,汗,느
0x8abf,1280,漢,늑
0x8ac0,1281,澗,는
0x8ac1,1282,潅,늘
0x8ac2,1283,環,늙
0x8ac3,1284,甘,늚
0x8ac4,1285,監,늠
0x8ac5,1286,看,늡
0x8ac6,1287,竿,늣
0x8ac7,1288,管,능
0x8ac8,1289,簡,늦
0x8ac9,1290,緩,늪
0x8aca,1291,缶,늬
0x8acb,1292,翰,늰
0x8acc,1293,肝,늴
0x8acd,1294,艦,니
0x8ace,1295,莞,닉
0x8acf,1296,観,닌
0x8ad0,1297,諌,닐
0x8ad1,1298,貫,닒
0x8ad2,1299,還,님
0x8ad3,1300,鑑,닙
0x8ad4,1301,間,닛
0x8ad5,1302,閑,닝
0x8ad6,1303,関,닢
0x8ad7,1304,陥,다
0x8ad8,1305,韓,닥
0x8ad9,1306,館,닦
0x8ada,1307,舘,단
0x8adb,1308,丸,닫
0x8adc,1309,含,달
0x8add,1310,岸,닭
0x8ade,1311,巌,닮
0x8adf,1312,玩,닯
0x8ae0,1313,癌,닳
0x8ae1,1314,眼,담
0x8ae2,1315,岩,답
0x8ae3,1316,翫,닷
0x8ae4,1317,贋,닸
0x8ae5,1318,雁,당
0x8ae6,1319,頑,닺
0x8ae7,1320,顔,닻
0x8ae8,1321,願,닿
0x8ae9,1322,企,대
0x8aea,1323,伎,댁
0x8aeb,1324,危,댄
0x8aec,1325,喜,댈
0x8aed,1326,器,댐
0x8aee,1327,基,댑
0x8aef,1328,奇,댓
0x8af0,1329,嬉,댔
0x8af1,1330,寄,댕
0x8af2,1331,岐,댜
0x8af3,1332,希,더
0x8af4,1333,幾,덕
0x8af5,1334,忌,덖
0x8af6,1335,揮,던
0x8af7,1336,机,덛
0x8af8,1337,旗,덜
0x8af9,1338,既,덞
0x8afa,1339,期,덟
0x8afb,1340,棋,덤
0x8afc,1341,棄,덥
0x8b40,1342,機,덧
0x8b41,1343,帰,덩
0x8b42,1344,毅,덫
0x8b43,1345,気,덮
0x8b44,1346,汽,데
0x8b45,1347,畿,덱
0x8b46,1348,祈,덴
0x8b47,1349,季,델
0x8b48,1350,稀,뎀
0x8b49,1351,紀,뎁
0x8b4a,1352,徽,뎃
0x8b4b,1353,規,뎄
0x8b4c,1354,記,뎅
0x8b4d,1355,貴,뎌
0x8b4e,1356,起,뎐
0x8b4f,1357,軌,뎔
0x8b50,1358,輝,뎠
0x8b51,1359,飢,뎡
0x8b52,1360,騎,뎨
0x8b53,1361,鬼,뎬
0x8b54,1362,亀,도
0x8b55,1363,偽,독
0x8b56,1364,儀,돈
0x8b57,1365,妓,돋
0x8b58,1366,宜,돌
0x8b59,1367,戯,돎
0x8b5a,1368,技,돐
0x8b5b,1369,擬,돔
0x8b5c,1370,欺,돕
0x8b5d,1371,犠,돗
0x8b5e,1372,疑,동
0x8b5f,1373,祇,돛
0x8b60,1374,義,돝
0x8b61,1375,蟻,돠
0x8b62,1376,誼,돤
0x8b63,1377,議,돨
0x8b64,1378,掬,돼
0x8b65,1379,菊,됐
0x8b66,1380,鞠,되
0x8b67,1381,吉,된
0x8b68,1382,吃,될
0x8b69,1383,喫,됨
0x8b6a,1384,桔,됩
0x8b6b,1385,橘,됫
0x8b6c,1386,詰,됴
0x8b6d,1387,砧,두
0x8b6e,1388,杵,둑
0x8b6f,1389,黍,둔
0x8b70,1390,却,둘
0x8b71,1391,客,둠
0x8b72,1392,脚,둡
0x8b73,1393,虐,둣
0x8b74,1394,逆,둥
0x8b75,1395,丘,둬
0x8b76,1396,久,뒀
0x8b77,1397,仇,뒈
0x8b78,1398,休,뒝
0x8b79,1399,及,뒤
0x8b7a,1400,吸,뒨
0x8b7b,1401,宮,뒬
0x8b7c,1402,弓,뒵
0x8b7d,1403,急,뒷
0x8b7e,1404,救,뒹
0x8b80,1405,朽,듀
0x8b81,1406,求,듄
0x8b82,1407,汲,듈
0x8b83,1408,泣,듐
0x8b84,1409,灸,듕
0x8b85,1410,球,드
0x8b86,1411,究,득
0x8b87,1412,窮,든
0x8b88,1413,笈,듣
0x8b89,1414,級,들
0x8b8a,1415,糾,듦
0x8b8b,1416,給,듬
0x8b8c,1417,旧,듭
0x8b8d,1418,牛,듯
0x8b8e,1419,去,등
0x8b8f,1420,居,듸
0x8b90,1421,巨,디
0x8b91,1422,拒,딕
0x8b92,1423,拠,딘
0x8b93,1424,挙,딛
0x8b94,1425,渠,딜
0x8b95,1426,虚,딤
0x8b96,1427,許,딥
0x8b97,1428,距,딧
0x8b98,1429,鋸,딨
0x8b99,1430,漁,딩
0x8b9a,1431,禦,딪
0x8b9b,1432,魚,따
0x8b9c,1433,亨,딱
0x8b9d,1434,享,딴
0x8b9e,1435,京,딸
0x8b9f,1436,供,땀
0x8ba0,1437,侠,땁
0x8ba1,1438,僑,땃
0x8ba2,1439,兇,땄
0x8ba3,1440,競,땅
0x8ba4,1441,共,땋
0x8ba5,1442,凶,때
0x8ba6,1443,協,땍
0x8ba7,1444,匡,땐
0x8ba8,1445,卿,땔
0x8ba9,1446,叫,땜
0x8baa,1447,喬,땝
0x8bab,1448,境,땟
0x8bac,1449,峡,땠
0x8bad,1450,強,땡
0x8bae,1451,彊,떠
0x8baf,1452,怯,떡
0x8bb0,1453,恐,떤
0x8bb1,1454,恭,떨
0x8bb2,1455,挟,떪
0x8bb3,1456,教,떫
0x8bb4,1457,橋,떰
0x8bb5,1458,況,떱
0x8bb6,1459,狂,떳
0x8bb7,1460,狭,떴
0x8bb8,1461,矯,떵
0x8bb9,1462,胸,떻
0x8bba,1463,脅,떼
0x8bbb,1464,興,떽
0x8bbc,1465,蕎,뗀
0x8bbd,1466,郷,뗄
0x8bbe,1467,鏡,뗌
0x8bbf,1468,響,뗍
0x8bc0,1469,饗,뗏
0x8bc1,1470,驚,뗐
